X,Y,Tau,N,Time
01,02,0.0172343,1305,456157
01,03,0.0149284,1305,444982
01,04,0.0106222,1305,405846
01,05,-0.0292528,1305,449879
01,06,-0.0197635,1305,411082
01,07,0.0194768,1305,451441
01,08,-0.00442141,1305,405532
01,09,0.0154173,1305,408794
01,10,0.00541805,1305,406195
01,11,-0.00902722,1305,363690
01,12,0.0249305,1305,362620
01,13,-0.0066027,1305,366771
01,14,-0.0423627,1305,352344
01,15,0.0251823,1305,345983
02,03,-0.0152481,1305,410865
02,04,0.00475049,1305,409083
02,05,-0.0301507,1305,405670
02,06,0.0154761,1305,404667
02,07,-0.00640293,1305,408227
02,08,-0.0188915,1305,415519
02,09,0.0149613,1305,403964
02,10,0.0048116,1305,409318
02,11,0.0184124,1305,342468
02,12,0.05046,1305,344081
02,13,-0.0352941,1305,352506
02,14,0.0188404,1305,347959
02,15,-0.0203944,1305,344727
03,04,0.0050161,1305,408542
03,05,-0.00213901,1305,407244
03,06,0.0098042,1305,408897
03,07,0.00791435,1305,407571
03,08,-0.00851374,1305,405011
03,09,0.00427332,1305,403586
03,10,-0.0154432,1305,410814
03,11,-0.00372492,1305,346672
03,12,-0.0285565,1305,345476
03,13,-0.00176803,1305,343560
03,14,0.0230492,1305,344089
03,15,0.0114158,1305,405823
04,05,-0.0193357,1305,412291
04,06,0.0225819,1305,403865
04,07,0.0346167,1305,414099
04,08,0.00994288,1305,407255
04,09,-0.00693416,1305,410142
04,10,-0.00529817,1305,404287
04,11,0.00458466,1305,352045
04,12,0.0151785,1305,341329
04,13,-0.00471416,1305,344985
04,14,0.0302544,1305,350121
04,15,0.0140202,1305,346397
05,06,0.0388478,1305,405852
05,07,-0.0116564,1305,403312
05,08,-0.0123734,1305,405063
05,09,0.00303693,1305,406171
05,10,-0.0134828,1305,403824
05,11,0.016862,1305,345247
05,12,0.0182001,1305,345612
05,13,-0.019988,1305,342267
05,14,-0.0117971,1305,324701
05,15,-0.00864951,1305,358312
06,07,-0.000446607,1305,353838
06,08,0.0171662,1305,354271
06,09,0.0172602,1305,388534
06,10,-0.012418,1305,523384
06,11,-0.0303875,1305,412580
06,12,-0.00192631,1305,410518
06,13,0.014441,1305,473400
06,14,-0.0188153,1305,403107
06,15,0.050942,1305,471800
07,08,0.0072938,1305,432684
07,09,0.0112757,1305,444269
07,10,-0.00945632,1305,486071
07,11,0.0154662,1305,401951
07,12,-0.00847685,1305,442160
07,13,0.00605592,1305,303043
07,14,0.0110597,1305,310948
07,15,0.00300548,1305,532089
08,09,0.0311967,1305,395491
08,10,-0.0160684,1305,483218
08,11,0.0224448,1305,392689
08,12,0.00550195,1305,473194
08,13,-0.0271176,1305,367549
08,14,0.0112035,1305,350606
08,15,-0.0399705,1305,357120
09,10,0.0087582,1305,418905
09,11,-0.0252974,1305,357685
09,12,0.011923,1305,346437
09,13,-0.0207506,1305,408747
09,14,0.0192074,1305,407886
09,15,0.0122503,1305,364916
10,11,0.00728257,1305,386674
10,12,0.0216894,1305,348277
10,13,-0.028517,1305,346874
10,14,-0.00596599,1305,376446
10,15,0.00384363,1305,347415
11,12,0.00806404,1305,264706
11,13,0.0107141,1305,221972
11,14,0.0356083,1305,227674
11,15,-0.0106829,1305,215858
12,13,0.0208713,1305,224053
12,14,-0.00736325,1305,223276
12,15,0.0421495,1305,221448
13,14,-0.0149415,1305,229249
13,15,-0.0307623,1305,224047
14,15,0.0243343,1305,221247
