X,Y,Tau,N,Time
01,02,0.01723432762146534,1305,965040263.0
01,03,0.01492842535787321,1305,1152314.0
01,04,0.010622194015466704,1305,987927.0
01,05,-0.0292527560350704,1305,1144637.0
01,06,-0.019763533366241214,1305,1241608.0
01,07,0.01947676468514209,1305,1094843.0
01,08,-0.004421408927438121,1305,1131080.0
01,09,0.015417342453517616,1305,1072820.0
01,10,0.005418047622405566,1305,978671.0
01,11,-0.009027221957426909,1305,1235633.0
01,12,0.024930528701313882,1305,1082955.0
01,13,-0.0066026961159024065,1305,933061.0
01,14,-0.042362653668714084,1305,1008638.0
01,15,0.025182334055774885,1305,1088816.0
02,03,-0.015248101920409938,1305,1063990.0
02,04,0.004750487741814164,1305,1091176.0
02,05,-0.030150671085725028,1305,999291.0
02,06,0.015476106527513338,1305,993956.0
02,07,-0.006402933502573867,1305,975342.0
02,08,-0.018891474508144702,1305,1032198.0
02,09,0.014961333239310814,1305,1039413.0
02,10,0.004811602378769715,1305,1016937.0
02,11,0.018412367240123385,1305,1189680.0
02,12,0.050459994424310005,1305,929910.0
02,13,-0.03529411764705882,1305,928700.0
02,14,0.018840436342707087,1305,979134.0
02,15,-0.02039443510166641,1305,1011016.0
03,04,0.005016101356274828,1305,1045826.0
03,05,-0.0021390122934442798,1305,1144581.0
03,06,0.009804198105446253,1305,966111.0
03,07,0.007914345485743835,1305,985726.0
03,08,-0.008513739040500198,1305,985301.0
03,09,0.004273323460968902,1305,1012446.0
03,10,-0.015443198646075733,1305,1030266.0
03,11,-0.0037249206363481027,1305,1057110.0
03,12,-0.028556525805552305,1305,1066861.0
03,13,-0.001768033310251176,1305,1183781.0
03,14,0.023049182981555255,1305,1083623.0
03,15,0.011415775605456983,1305,1063562.0
04,05,-0.019335730907552355,1305,1284442.0
04,06,0.022581858355076038,1305,1069187.0
04,07,0.0346167407093999,1305,1064456.0
04,08,0.009942881320076159,1305,1068503.0
04,09,-0.0069341607314951925,1305,1153424.0
04,10,-0.005298168911454294,1305,1122661.0
04,11,0.004584656060864951,1305,1178313.0
04,12,0.015178467044974235,1305,1138053.0
04,13,-0.0047141559574448945,1305,1091581.0
04,14,0.03025441333848935,1305,1357991.0
04,15,0.014020162414453627,1305,1151134.0
05,06,0.03884775403709188,1305,1175655.0
05,07,-0.01165644171779141,1305,1210084.0
05,08,-0.012373363420539218,1305,1080320.0
05,09,0.0030369273440989117,1305,1030611.0
05,10,-0.01348282913757845,1305,1100580.0
05,11,0.0168619657005135,1305,1051826.0
05,12,0.018200131298506256,1305,1021159.0
05,13,-0.019987949315179367,1305,1027411.0
05,14,-0.011797080856497928,1305,949489.0
05,15,-0.008649513925735406,1305,1051001.0
06,07,-0.000446606962367487,1305,1053985.0
06,08,0.017166161295630304,1305,1089522.0
06,09,0.017260183814023458,1305,1055835.0
06,10,-0.012418024116775967,1305,969243.0
06,11,-0.03038751045441873,1305,935605.0
06,12,-0.0019263109616266627,1305,962810.0
06,13,0.014441037078338444,1305,1046428.0
06,14,-0.018815255807260987,1305,982873.0
06,15,0.05094202181713535,1305,1220370.0
07,08,0.007293796864349011,1305,1060856.0
07,09,0.011275650518299133,1305,972454.0
07,10,-0.00945631478739158,1305,936731.0
07,11,0.015466244592929666,1305,994775.0
07,12,-0.008476847396962148,1305,1036353.0
07,13,0.00605591877478709,1305,1018217.0
07,14,0.011059650889862136,1305,1077640.0
07,15,0.003005476766459527,1305,1044182.0
08,09,0.031196671602848877,1305,988364.0
08,10,-0.016068448393390215,1305,944550.0
08,11,0.022444850130848855,1305,917540.0
08,12,0.005501946994972885,1305,1038203.0
08,13,-0.027117638065775156,1305,1041147.0
08,14,0.011203539663839853,1305,1095754.0
08,15,-0.039970502801334566,1305,1040281.0
09,10,0.008758197588322402,1305,1001144.0
09,11,-0.025297445074957056,1305,939318.0
09,12,0.011922983533728428,1305,1035851.0
09,13,-0.020750559817261257,1305,1147106.0
09,14,0.01920735271635026,1305,1026010.0
09,15,0.012250330494527732,1305,1089861.0
10,11,0.007282570572947112,1305,1012242.0
10,12,0.02168943406746585,1305,964758.0
10,13,-0.028516956392708435,1305,906677.0
10,14,-0.005965988291051017,1305,1016137.0
10,15,0.0038436288748797177,1305,1079103.0
11,12,-0.00855662766256765,1305,1069829.0
11,13,0.010908750667349153,1305,1016416.0
11,14,0.03746853489563609,1305,957361.0
11,15,0.020824696415187065,1305,896014.0
12,13,0.004891567934594333,1305,858808.0
12,14,-0.017776391704350535,1305,1126590.0
12,15,0.029601325718668255,1305,1031544.0
13,14,-0.0015150155173492396,1305,1045491.0
13,15,-0.00898393226215081,1305,1033141.0
14,15,0.02940411137132448,1305,943253.0
